163        & distributorship      & '/NULL/hip/hips.NULL, 's/NULL/s/s'/ship.NULL, NULL/s.NULL \\
164        & ditches              & (2)/NULL.NULL, NULL/ed/es/ing.NULL, d/s/s(2).s \\
165        & driller              & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.r \\
166        & drillers             & NULL/ed/er/ers/ing/s.NULL, NULL/s.NULL, d/r/rs.rs \\
167        & drummer              & NULL/s.NULL, d/r/rs.r, ed/er/ers/ing.er \\
168        & drummers             & NULL/s.NULL, d/r/rs.rs, ed/er/ers/ing.ers \\
169        & eclipses             & (2)/NULL.NULL, NULL/d/s/s(2).NULL, e/ed/es/ing.es \\
170        & ecological           & NULL/ly.NULL, cal/st/sts.cal, ical/ist/ists/y.ical \\
171        & ecologist            & NULL/s.NULL, cal/st/sts.st, ical/ist/ists/y.ist \\
172        & ecologists           & NULL/s.NULL, cal/st/sts.sts, ical/ist/ists/y.ists \\
173        & eliminated           & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion/ions.ed \\
174        & elimination          & NULL/s.NULL, e/ed/es/ing/ion/ions.ion, ng/on/ons.on \\
175        & eliminations         & NULL/s.NULL, e/ed/es/ing/ion/ions.ions, ng/on/ons.ons \\
176        & elitists             & (2)/NULL.NULL, (2)/NULL/s/s(2).NULL, m/t/t(2)/ts.ts \\
177        & emphasizes           & (2)/NULL.NULL, NULL/d/s/s(2).NULL, e/ed/es/ing.es \\
178        & employers'           & '/'(2)/(2)/NULL.', 's/(2)/NULL/s/s'/s(2).NULL, (2)/NULL.NULL \\
179        & enabled              & (2)/NULL.NULL, (2)/NULL/d/d(2)/s/s(2).NULL, e/e(2)/ed/es/ing.ed \\
180        & enables              & (2)/NULL.NULL, (2)/NULL/d/d(2)/s/s(2).NULL, e/e(2)/ed/es/ing.es \\
181        & ensured              & (2)/NULL.NULL, (2)/NULL/d/d(2)/s.NULL, e/e(2)/ed/es/ing.ed \\
182        & epidemiologist       & NULL/s.NULL, cal/st/sts.st, ical/ist/ists/y.ist \\
183        & epidemiologists      & NULL/s.NULL, cal/st/sts.sts, ical/ist/ists/y.ists \\
184        & episodes             & (2)/NULL.NULL, (2)/NULL/s/s(2).NULL, e/es/ic.es \\
185        & eroded               & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing.ed \\
186        & eruption             & NULL/ed/ing/ion/ions/s.NULL, NULL/s.NULL, ng/on/ons.on \\
187        & eruptions            & NULL/ed/ing/ion/ions/s.NULL, NULL/s.NULL, ng/on/ons.ons \\
188        & evacuation           & NULL/s.NULL, e/ed/ing/ion/ions.ion, ng/on/ons.on \\
189        & evacuations          & NULL/s.NULL, e/ed/ing/ion/ions.ions, ng/on/ons.ons \\
190        & evaluation           & NULL/s.NULL, e/ed/es/ing/ion/ions.ion, ng/on/ons.on \\
191        & evaluations          & NULL/s.NULL, e/ed/es/ing/ion/ions.ions, ng/on/ons.ons \\
192        & evaporated           & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion.ed \\
193        & exacerbated          & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing.ed \\
194        & exaggerated          & (2)/NULL.NULL, NULL/d/d(2)/s.NULL, e/ed/es/ing/ion/ions.ed \\
195        & exaggeration         & NULL/s.NULL, e/ed/es/ing/ion/ions.ion, ng/on/ons.on \\
196        & exaggerations        & NULL/s.NULL, e/ed/es/ing/ion/ions.ions, ng/on/ons.ons \\
197        & examiner             & 's/NULL/s/s'.NULL, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.er \\
198        & examiner's           & 's/NULL/s/s'.'s, NULL/d/r/r's/rs/rs'/s.NULL, e/ed/er/er's/ers/ers'/es/ing.er's \\
199        & exclude              & NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.de, e/ed/es/ing.e \\
200        & excludes             & NULL/d/d(2)/s.NULL, de/ded/des/ding/sion/sive.des, e/ed/es/ing.es \\
201        & exclusive            & NULL/ly.NULL, de/ded/des/ding/sion/sive.sive, e/ely/ity.e \\
202        & exemption            & NULL/ed/ing/ion/ions/s.NULL, NULL/s.NULL, ng/on/ons.on \\
